Author;Author_Std
J. K. Rowling;j k rowling
Orvos-Tóth Noémi;orvostoth noemi
Magyar Tudományos Akadémia;magyar tudomanyos akademia
Rhonda Byrne;rhonda byrne
Beck Andrea;beck andrea
Dr. Csernus Imre;dr csernus imre
Keri Smith;keri smith
Delia Owens;delia owens
Rosta Katalin;rosta katalin
Vekerdy Tamás;vekerdy tamas
Ken Follett;ken follett
E L James;e l james
Borbás Marcsi;borbas marcsi
;
Dr. Máté Gábor;dr mate gabor
Edith Eva Eger;edith eva eger
Pál Ferenc;pal ferenc
Stieg Larsson;stieg larsson
Borsa Brown;borsa brown
Dr. Bagdy Emőke;dr bagdy emoke
Jeff Kinney;jeff kinney
Elaine Mazlish;elaine mazlish
George R. R. Martin;george r r martin
Molnár Ferenc;molnar ferenc
Buda László;buda laszlo
Gary Chapman;gary chapman
WM. Paul Young;wm paul young
Suzanne Collins;suzanne collins
Nyáry Krisztián;nyary krisztian
Mérei Ferenc;merei ferenc
Patrice Karst;patrice karst
Antoine de Saint-Exupéry;antoine de saintexupery
Emeran Mayer;emeran mayer
Vadadi Adrienn;vadadi adrienn
Deákné B. Katalin;deakne b katalin
Lázár Ervin;lazar ervin
Frei Tamás;frei tamas
Betty Edwards;betty edwards
Robert Lawson;robert lawson
Bartos Erika;bartos erika
Csíkszentmihályi Mihály;csikszentmihalyi mihaly
Csukás István;csukas istvan
Radnóti Miklósné Gyarmati Fanni;radnoti miklosne gyarmati fanni
Paulo Coelho;paulo coelho
Leiner Laura;leiner laura
Joanna Faber;joanna faber
Kádár Annamária;kadar annamaria
Marie-Claude Monchaux;marieclaude monchaux
Ranschburg Jenő;ranschburg jeno
Robert T. Kiyosaki;robert t kiyosaki
Bibók Bea;bibok bea
Marék Veronika;marek veronika
D. Tóth Kriszta;d toth kriszta
Paul Wade;paul wade
Szabó Péter;szabo peter
David Attenborough;david attenborough
Peter Wohlleben;peter wohlleben
Presser Gábor;presser gabor
Yuval Noah Harari;yuval noah harari
Bosnyák Viktória;bosnyak viktoria
Dr. David R. Hawkins;dr david r hawkins
Lori Lite;lori lite
Alexander Loyd;alexander loyd
Fábián Janka;fabian janka
Bear Grylls;bear grylls
Berg Judit;berg judit
Jordan B. Peterson;jordan b peterson
Tasnádi István;tasnadi istvan
Paula Hawkins;paula hawkins
Karády Anna;karady anna
Dragomán György;dragoman gyorgy
Szepes Mária;szepes maria
Marshall B. Rosenberg;marshall b rosenberg
Böjte Csaba;bojte csaba
Liane Schneider;liane schneider
Dr. Michael Newton;dr michael newton
Dezső András;dezso andras
Móricz Zsigmond;moricz zsigmond
Lawrence J. Cohen;lawrence j cohen
Stephenie Meyer;stephenie meyer
Bánki György;banki gyorgy
Náray Tamás;naray tamas
Eckhart Tolle;eckhart tolle
Bödőcs Tibor;bodocs tibor
